ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600750.SH,20260626,22.94,22.95,22.38,22.42,22.61,-0.19,-0.8403,25365.21,57188.232
600750.SH,20260625,22.98,23.2,22.53,22.61,23.09,-0.48,-2.0788,28940.34,65862.987
600750.SH,20260624,23.99,24.2,23.04,23.09,23.79,-0.7,-2.9424,46357.72,108973.063
600750.SH,20260623,23.53,23.94,23.23,23.79,23.35,0.44,1.8844,34042.2,80492.499
600750.SH,20260622,23.3,23.45,22.65,23.35,23.43,-0.08,-0.3414,47218.56,108852.093
600750.SH,20260618,24.36,24.47,24.16,24.31,24.26,0.05,0.2061,32010.75,77812.774
600750.SH,20260617,24.3,24.35,23.91,24.26,24.23,0.03,0.1238,29710.63,71922.653
600750.SH,20260616,24.46,24.73,24.1,24.23,24.7,-0.47,-1.9028,44324.2,107928.052
600750.SH,20260615,24.81,25.44,24.33,24.7,24.56,0.14,0.57,61075.48,151297.486
600750.SH,20260612,25.02,25.21,24.5,24.56,25.0,-0.44,-1.76,56597.28,139776.436
600750.SH,20260611,25.77,25.97,24.9,25.0,25.57,-0.57,-2.2292,41812.0,105191.703
600750.SH,20260610,25.41,25.61,25.16,25.57,25.62,-0.05,-0.1952,34881.38,88615.426
600750.SH,20260609,25.92,25.95,25.33,25.62,25.96,-0.34,-1.3097,42949.33,109609.983
600750.SH,20260608,26.0,26.4,25.79,25.96,25.92,0.04,0.1543,40501.07,105168.661
600750.SH,20260605,25.77,26.5,25.6,25.92,25.51,0.41,1.6072,38593.4,100846.302
600750.SH,20260604,25.84,26.34,25.51,25.51,26.1,-0.59,-2.2605,33885.94,87508.272
600750.SH,20260603,26.02,26.26,25.55,26.1,26.02,0.08,0.3075,48701.51,126423.802
600750.SH,20260602,25.88,26.49,25.65,26.02,25.88,0.14,0.541,64007.54,167561.359
600750.SH,20260601,25.05,26.01,24.62,25.88,25.05,0.83,3.3134,79203.94,201772.763
600750.SH,20260529,23.77,25.14,23.67,25.05,23.71,1.34,5.6516,86260.8,212882.034
600750.SH,20260528,23.88,24.1,23.53,23.71,23.99,-0.28,-1.1672,43671.85,104163.674
600750.SH,20260527,23.33,23.99,23.2,23.99,23.37,0.62,2.653,51752.2,122609.072
600750.SH,20260526,22.78,23.52,22.72,23.37,22.8,0.57,2.5,49208.42,114665.715
600750.SH,20260525,22.73,22.89,22.45,22.8,22.82,-0.02,-0.0876,47689.35,108209.745
600750.SH,20260522,22.64,23.0,22.18,22.82,22.53,0.29,1.2872,68301.72,154442.188
600750.SH,20260521,22.87,23.03,22.52,22.53,22.88,-0.35,-1.5297,52343.76,118572.133
600750.SH,20260520,22.79,22.98,22.58,22.88,22.8,0.08,0.3509,54615.07,124364.661
600750.SH,20260519,22.53,22.86,22.45,22.8,22.52,0.28,1.2433,45841.72,103595.178
